Type,Description,Incident #,Location,Agency,Date,,
,LARCENY/SHOPLIFTING,3122040532,100 BLOCK MAIN ST,Newark Police,11/28/22 20:18,,"Obtained from: https://www.crimemapping.com/map/location/19716,%20Newark,%20DE,%20USA?id=dHA9MCNsb2M9NjgzNDc4MSNsbmc9NTQjcGw9MTIyNTQyMSNsYnM9MTQ6MTI4OTkyNw==#"
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122040519,200 BLOCK MAIN ST,Newark Police,11/28/22 17:09,,two mile radius from zipcode of 19716
,BURGLARY/NO FORCED ENTRY/RESIDENCE,3122040493,300 BLOCK PAPER MILL RD,Newark Police,11/28/22 14:41,,during times of 8/31/22-11/29/22
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122040490,700 BLOCK N LIBRARY AVE,Newark Police,11/28/22 14:17,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122040368,300 BLOCK SUBURBAN DR,Newark Police,11/27/22 18:06,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122040349,100 BLOCK MAIN ST,Newark Police,11/27/22 13:38,,
,DRIVING UNDER THE INFLUENCE/LIQUOR/DRUGS,3122040295,ON WESTBOUND S. MAIN STREET SR273 27.76 FEET SOUTH WEST FRO,Newark Police,11/27/22 2:31,,
,LARCENY/FROM BUILDING,3122040299,000 BLOCK E MAIN ST,Newark Police,11/27/22 1:31,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122040214,000 BLOCK THORN LA,Newark Police,11/26/22 13:03,,
,LARCENY/SHOPLIFTING,3122040165,600 BLOCK W OGLETOWN RD,Newark Police,11/26/22 0:49,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122040125,300 BLOCK PAPER MILL RD,Newark Police,11/25/22 17:53,,
,FRAUD BY WIRE,3122040107,000 BLOCK E SUNSET RD,Newark Police,11/25/22 16:16,,
,"ROBBERY/CARJACKING/GUN COMMERCIAL HOUSE(EXCEPT C,D,F)",3122039974,100 BLOCK GROVE LA,Newark Police,11/24/22 12:32,,
,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER,3122039830,ORCHARD RD,Newark Police,11/23/22 1:02,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122039759,000 BLOCK W E. CLEVELAND,Newark Police,11/22/22 10:28,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,,ON WESTBOUND CHESTNUT HILL ROAD SR4 61.65 FEET SOUTH WEST F,Delaware State Police,11/22/22 2:45,,
,LARCENY/SHOPLIFTING,3122039713,200 BLOCK S. MAIN ST,Newark Police,11/22/22 1:57,,
,LARCENY/BICYCLES,3122039694,3300 BLOCK WOOLEN WAY,Newark Police,11/21/22 22:37,,
,AGGRAVATED ASSAULT/FAMILY OTHER DANGEROUS WEAPON,3122039693,800 BLOCK S COLLEGE AVE,Newark Police,11/21/22 21:12,,
,LARCENY/SHOPLIFTING,3122039602,200 BLOCK SW S. MAIN ST,Newark Police,11/21/22 0:31,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122039580,300 BLOCK E CANNONS WAY,Newark Police,11/20/22 18:58,,
,LARCENY/SHOPLIFTING,3122039563,400 BLOCK NEW LONDON RD,Newark Police,11/20/22 15:03,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122039528,000 BLOCK NE BRIAR LA,Newark Police,11/20/22 10:08,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122039516,600 BLOCK N COLLEGE AVE,Newark Police,11/20/22 9:38,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3122039503,1200 BLOCK WOOLEN WAY,Newark Police,11/20/22 3:09,,
,DAMAGE/PRIVATE PROPERTY,3122039425,100 BLOCK GROVE LA,Newark Police,11/19/22 15:38,,
,LARCENY/CITY/STATE/TOWN/PROPERTY FROM ALL OTHER YARDS,3922012780,200 BLOCK HAINES ST,University of Delaware Police,11/19/22 10:11,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122039371,ON W. PARK PLACE 75.83 FEET EAST FROM INDIAN ROAD WITHIN,Newark Police,11/19/22 2:24,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122039365,000 BLOCK NW THORN LA,Newark Police,11/19/22 0:24,,
,DAMAGE/PUBLIC PROPERTY,3922012746,400 BLOCK ACADEMY ST,University of Delaware Police,11/18/22 22:29,,
,LARCENY/FROM ALL OTHER YARDS,3922012744,400 BLOCK W ACADEMY ST,University of Delaware Police,11/18/22 21:37,,
,LARCENY/FROM ALL OTHER YARDS,3922012740,200 BLOCK S HAINES ST,University of Delaware Police,11/18/22 20:38,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122039259,000 BLOCK THORN LN,Newark Police,11/18/22 1:40,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922012689,200 BLOCK DAVID HOLLOWELL DR,University of Delaware Police,11/18/22 0:55,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122039231,100 BLOCK MAIN ST,Newark Police,11/17/22 21:15,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922012681,800 BLOCK SCHOLAR DR,University of Delaware Police,11/17/22 18:50,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,,100 BLOCK PENCADER PLZ,Delaware State Police,11/17/22 16:24,,
,LARCENY/FROM ALL OTHER YARDS,3122039208,800 BLOCK DISTRICT DR,Newark Police,11/17/22 16:00,,
,FRAUD BY WIRE,3122039201,100 BLOCK NE S. MAIN ST,Newark Police,11/17/22 14:16,,
,LARCENY/FROM BUILDING,3122039184,1000 BLOCK SUBURBAN DR,Newark Police,11/17/22 11:50,,
,BURGLARY/NO FORCED ENTRY/RESIDENCE,3922012644,300 BLOCK HAINES ST,University of Delaware Police,11/17/22 5:07,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122039039,200 BLOCK CLEVELAND AVE,Newark Police,11/16/22 14:08,,
,DAMAGE/BUSINESS PROPERTY,3922012598,100 BLOCK THE GREEN,University of Delaware Police,11/16/22 9:23,,
,DAMAGE/BUSINESS PROPERTY,3922012597,100 BLOCK THE GREEN,University of Delaware Police,11/16/22 9:10,,
,DAMAGE/PUBLIC PROPERTY,3922012594,100 BLOCK THE GREEN,University of Delaware Police,11/16/22 8:09,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122038852,600 BLOCK COLLEGE AVE,Newark Police,11/15/22 2:30,,
,LARCENY/BICYCLES,3122038788,000 BLOCK EASTON CT,Newark Police,11/14/22 14:24,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122038768,000 BLOCK W AMSTEL AVE,Newark Police,11/14/22 11:24,,
,DAMAGE/PRIVATE PROPERTY,3122038769,1000 BLOCK FOUNTAINVIEW CIR,Newark Police,11/14/22 10:47,,
,LARCENY/FROM BUILDING,3922012504,100 BLOCK ORCHARD RD,University of Delaware Police,11/14/22 9:31,,
,LARCENY/SHOPLIFTING,3122038757,600 BLOCK W OGLETOWN RD,Newark Police,11/14/22 8:29,,
,BURGLARY/FORCED ENTRY/NONRESIDENCE,3122038746,1000 BLOCK COLLEGE AVE,Newark Police,11/14/22 4:39,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122038715,000 BLOCK CLEVELAND AVE,Newark Police,11/13/22 20:16,,
,LARCENY/SHOPLIFTING,,100 BLOCK W PENCADER PLZ,Delaware State Police,11/13/22 17:43,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122038486,ON PRIVATE PROPERTY WITHIN NEWARK MUNICIPALITY. 134.05 FEET,Newark Police,11/13/22 17:43,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122038682,100 BLOCK W MAIN ST,Newark Police,11/13/22 11:26,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922012460,300 BLOCK HAINES ST,University of Delaware Police,11/13/22 3:05,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3122038638,000 BLOCK MAIN ST,Newark Police,11/13/22 1:05,,
,LARCENY/SHOPLIFTING,3122038641,600 BLOCK OGLETOWN RD,Newark Police,11/13/22 0:32,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038633,100 BLOCK MAIN ST,Newark Police,11/13/22 0:28,,
,DAMAGE/PRIVATE PROPERTY,3122038627,000 BLOCK NE INDEPENDENCE CIR,Newark Police,11/12/22 23:30,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122038622,100 BLOCK MAIN ST,Newark Police,11/12/22 22:49,,
,LIQUOR/FREE TEXT,3122038611,200 BLOCK DELAWARE AVE,Newark Police,11/12/22 20:30,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038589,100 BLOCK COLLEGE AVE,Newark Police,11/12/22 17:31,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122038581,ON PRIVATE PROPERTY WITHIN NEWARK MUNICIPALITY. 27.40 FEET,Newark Police,11/12/22 17:28,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038576,200 BLOCK PARK PL,Newark Police,11/12/22 15:34,,
,DAMAGE/PRIVATE PROPERTY,3122038571,100 BLOCK E LOVETT AVE,Newark Police,11/12/22 14:45,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038568,000 BLOCK W PARK PL,Newark Police,11/12/22 14:22,,
,LARCENY/BICYCLES,3122038635,200 BLOCK E E. MAIN ST,Newark Police,11/12/22 11:58,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122038540,000 BLOCK W CLEVELAND AVE,Newark Police,11/12/22 8:55,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038529,100 BLOCK KELLS AVE,Newark Police,11/12/22 2:10,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038528,000 BLOCK BENNY ST,Newark Police,11/12/22 1:32,,
,LARCENY/SHOPLIFTING,3122038527,600 BLOCK OGLETOWN RD,Newark Police,11/12/22 0:33,,
,BUY/PURCHASE/GIVE LIQUOR TO PERSONS UNDERAGE,3122038470,400 BLOCK S NEW LONDON RD,Newark Police,11/11/22 19:10,,
,LARCENY/FROM BUILDING,3122038460,200 BLOCK W DELAWARE AVE,Newark Police,11/11/22 16:44,,
,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED,3922012365,100 BLOCK CHRISTIANA DR,University of Delaware Police,11/11/22 16:42,,
,LARCENY/FROM BUILDING,3122038455,600 BLOCK OGELTOWN RD,Newark Police,11/11/22 15:48,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122038451,MARROWS RD,Newark Police,11/11/22 14:56,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122036792,MARROWS S RD & OGLETOWN RD,Newark Police,11/11/22 12:38,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122038396,ON WYOMING ROAD 411.47 FEET WEST FROM LIBRARY AVENUE SR72,Newark Police,11/11/22 2:44,,
,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED,3122038394,100 BLOCK E. MAIN ST,Newark Police,11/11/22 1:26,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122038380,200 BLOCK SW S. MAIN ST,Newark Police,11/11/22 0:00,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122038237,000 BLOCK E MAIN ST,Newark Police,11/9/22 19:54,,
,LARCENY/SHOPLIFTING,3122038220,100 BLOCK GROVE LA,Newark Police,11/9/22 16:52,,
,LARCENY/SHOPLIFTING,3122038218,600 BLOCK W OGLETOWN RD,Newark Police,11/9/22 15:39,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038216,300 BLOCK MAIN ST,Newark Police,11/9/22 15:24,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122038196,100 BLOCK WILBUR ST,Newark Police,11/9/22 11:58,,
,LARCENY/SHOPLIFTING,3122038191,1000 BLOCK SUBURBAN DR,Newark Police,11/9/22 9:56,,
,LARCENY/CITY/STATE/TOWN/PROPERTY FROM BUILDING,3922012225,300 BLOCK ACADEMY ST,University of Delaware Police,11/8/22 21:34,,
,LARCENY/BICYCLES,3122038135,200 BLOCK MAIN ST,Newark Police,11/8/22 20:45,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122038119,700 BLOCK N S. COLLEGE AVE,Newark Police,11/8/22 17:39,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122038113,200 BLOCK W DELAWARE AVE,Newark Police,11/8/22 16:47,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122038085,000 BLOCK THORN LA,Newark Police,11/8/22 10:28,,
,DAMAGE/PUBLIC PROPERTY,3922012197,400 BLOCK ACADEMY ST,University of Delaware Police,11/8/22 10:14,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038037,800 BLOCK S S. COLLEGE AVE,Newark Police,11/8/22 1:10,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122038018,000 BLOCK RITTER LA,Newark Police,11/7/22 21:02,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122037990,300 BLOCK E MAIN ST,Newark Police,11/7/22 17:17,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037987,1100 BLOCK COLLEGE AVE,Newark Police,11/7/22 16:32,,
,LARCENY/FROM BUILDING,3122037982,100 BLOCK GROVE LA,Newark Police,11/7/22 15:00,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122037981,200 BLOCK MAIN ST,Newark Police,11/7/22 12:43,,
,DRIVING UNDER THE INFLUENCE/DRUGS,3122037941,ON CHRISTINA PARKWAY SR4 26.75 FEET SOUTH EAST FROM ELKTON,Newark Police,11/7/22 8:54,,
,DAMAGE/PRIVATE PROPERTY,3122037887,100 BLOCK CLEVELAND AVE,Newark Police,11/6/22 13:55,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122037861,300 BLOCK DELAWARE CIR,Newark Police,11/6/22 8:23,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122037837,ON DELREM DRIVE 105.16 FEET NORTH EAST FROM CASHO MILL ROA,Newark Police,11/6/22 2:13,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037836,700 BLOCK S COLLEGE AVE,Newark Police,11/6/22 0:27,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922011983,200 BLOCK HAINES ST,University of Delaware Police,11/5/22 23:19,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3122037825,100 BLOCK MAIN ST,Newark Police,11/5/22 23:16,,
,LARCENY/SHOPLIFTING,3122037821,200 BLOCK SW S. MAIN ST,Newark Police,11/5/22 22:15,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122037820,000 BLOCK MAIN ST,Newark Police,11/5/22 21:50,,
,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON,3122037818,000 BLOCK MAIN ST,Newark Police,11/5/22 21:06,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037814,400 BLOCK NEW LONDON RD,Newark Police,11/5/22 19:55,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122037809,200 BLOCK MADISON DR,Newark Police,11/5/22 18:23,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037798,000 BLOCK PARK PL,Newark Police,11/5/22 17:17,,
,LARCENY/SHOPLIFTING,,300 BLOCK E E. CHESTNUT HILL RD,Delaware State Police,11/5/22 16:40,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037793,200 BLOCK W KELLS AVE,Newark Police,11/5/22 16:21,,
,URINATE OR DEFECATE IN PUBLIC,3122037790,S. COLLEGE AVE & HOLTON PL,Newark Police,11/5/22 15:55,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037789,400 BLOCK N COLLEGE AVE,Newark Police,11/5/22 15:52,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037791,000 BLOCK CHAPEL ST,Newark Police,11/5/22 15:50,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122037797,000 BLOCK E COURTNEY ST,Newark Police,11/5/22 15:00,,
,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED,3122037775,000 BLOCK SUE LN,Newark Police,11/5/22 12:47,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3922012014,400 BLOCK E ACADEMY ST,University of Delaware Police,11/5/22 10:21,,
,DAMAGE/BUSINESS PROPERTY,3922012010,400 BLOCK ACADEMY ST,University of Delaware Police,11/5/22 8:52,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122037749,ON NEW STREET AT THE INTERSECTION OF NORTH CHAPEL STREET W,Newark Police,11/5/22 4:20,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037754,600 BLOCK W OGLETOWN RD,Newark Police,11/5/22 3:23,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037745,100 BLOCK W E. PARK PL,Newark Police,11/5/22 1:14,,
,LARCENY/FROM BUILDING,3922011988,400 BLOCK W ACADEMY ST,University of Delaware Police,11/5/22 0:26,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037731,000 BLOCK ACADEMY ST,Newark Police,11/4/22 22:40,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037730,300 BLOCK MAIN ST,Newark Police,11/4/22 22:28,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122037702,1000 BLOCK E BARKSDALE RD,Newark Police,11/4/22 17:20,,
,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED,3122037701,100 BLOCK MAIN ST,Newark Police,11/4/22 16:10,,
,LARCENY/SHOPLIFTING,3122037692,600 BLOCK OGLETOWN RD,Newark Police,11/4/22 14:39,,
,LARCENY/FROM BUILDING,3122037670,600 BLOCK NE LEHIGH RD,Newark Police,11/4/22 9:40,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922011931,300 BLOCK ACADEMY ST,University of Delaware Police,11/4/22 2:53,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037617,000 BLOCK MAIN ST,Newark Police,11/3/22 22:31,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037615,500 BLOCK OLD BARKSDALE RD,Newark Police,11/3/22 21:48,,
,LIQUOR/FREE TEXT,3122037611,100 BLOCK NE MAIN ST,Newark Police,11/3/22 21:32,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122037587,000 BLOCK MARVIN DR,Newark Police,11/3/22 17:04,,
,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED,3122037585,200 BLOCK VILLAGE RD,Newark Police,11/3/22 16:41,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122037562,700 BLOCK DELAWARE AVE,Newark Police,11/3/22 14:07,,
,DAMAGE/PUBLIC PROPERTY,3922011895,200 BLOCK ACADEMY ST,University of Delaware Police,11/3/22 13:11,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122037552,700 BLOCK DELAWARE AVE,Newark Police,11/3/22 11:32,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122037547,500 BLOCK HAMLET WAY,Newark Police,11/3/22 11:08,,
,IMPERSONATION,3122037431,200 BLOCK E WHITHERSPOON LA,Newark Police,11/2/22 14:31,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122037416,000 BLOCK N BENNY ST,Newark Police,11/2/22 11:41,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037348,100 BLOCK E E. MAIN ST,Newark Police,11/2/22 0:34,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037347,200 BLOCK CARROLL CT,Newark Police,11/1/22 23:42,,
,DAMAGE/BUSINESS PROPERTY,3922011807,400 BLOCK ACADEMY ST,University of Delaware Police,11/1/22 16:36,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037272,100 BLOCK WILBUR ST,Newark Police,11/1/22 0:34,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122037270,100 BLOCK W COURTNEY ST,Newark Police,10/31/22 23:50,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122037255,000 BLOCK MADISON DR,Newark Police,10/31/22 18:55,,
,LARCENY/FROM BUILDING,3122037230,000 BLOCK BOUNDARY RD,Newark Police,10/31/22 15:01,,
,LARCENY/FROM ALL OTHER YARDS,3122037214,S. MAIN ST & AMSTEL AVE,Newark Police,10/31/22 10:25,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922011744,100 BLOCK COURTNEY ST,University of Delaware Police,10/31/22 2:05,,
,DAMAGE/PUBLIC PROPERTY,3922011737,000 BLOCK MAIN ST,University of Delaware Police,10/30/22 19:01,,
,LARCENY/FROM BUILDING,3122037135,500 BLOCK HAMLET WAY,Newark Police,10/30/22 10:08,,
,DAMAGE/PRIVATE PROPERTY,3122037118,000 BLOCK E. PARK PL,Newark Police,10/30/22 4:48,,
,DAMAGE/PRIVATE PROPERTY,3122037114,200 BLOCK S MANUEL ST,Newark Police,10/30/22 2:43,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122037111,100 BLOCK E E. MAIN ST,Newark Police,10/30/22 2:36,,
