Type,Description,Incident #,Location,Agency,Date,,
,LARCENY/SHOPLIFTING,3122032598,100 BLOCK GROVE LA,Newark Police,9/21/22 17:38,,
,THEFT/FALSE PRETENSE OR PROMISE,3122032591,500 BLOCK OLD BARKSDALE RD,Newark Police,9/21/22 17:16,,
,LARCENY/FROM BUILDING,3122032582,100 BLOCK WHARTON DR,Newark Police,9/21/22 15:44,,
,LARCENY/FROM ALL OTHER YARDS,3122032569,1300 BLOCK WHARTON DR,Newark Police,9/21/22 13:36,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,,900 BLOCK S CHAPEL ST,Delaware State Police,9/21/22 12:32,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122032560,300 BLOCK HILLSIDE RD,Newark Police,9/21/22 11:05,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122032536,100 BLOCK WHARTON DR,Newark Police,9/21/22 8:41,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122032526,700 BLOCK DELAWARE AVE,Newark Police,9/21/22 7:31,,
,LARCENY/SHOPLIFTING,,2000 BLOCK W OGLETOWN RD,Delaware State Police,9/20/22 15:43,,
,DAMAGE/BUSINESS PROPERTY,3922009570,800 BLOCK W SCHOLAR DR,University of Delaware Police,9/20/22 14:18,,
,LARCENY/FROM BUILDING,3122032429,100 BLOCK MADISON DR,Newark Police,9/20/22 12:35,,
,FRAUD BY WIRE,3122032417,500 BLOCK BRIAR LA,Newark Police,9/20/22 10:27,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,,4700 BLOCK NW STANTON OGLETOWN RD,Delaware State Police,9/20/22 9:20,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122020267,E. CLEVELAND E & COLLEGE AVE,Newark Police,9/20/22 9:20,,
,LARCENY/SHOPLIFTING,3122032351,200 BLOCK MAIN ST,Newark Police,9/19/22 17:52,,
,FRAUD BY WIRE,3922009522,000 BLOCK RAY ST,University of Delaware Police,9/19/22 16:45,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122032329,400 BLOCK NEW LONDON RD,Newark Police,9/19/22 13:37,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122032302,600 BLOCK LEHIGH RD,Newark Police,9/19/22 9:24,,
,THEFT/FALSE PRETENSE OR PROMISE,3122032226,1300 BLOCK WHARTON DR,Newark Police,9/18/22 5:55,,
,POSSESSION OF AN OPEN CONTAINER,3122032196,CENTER N ST & LINDEN ST,Newark Police,9/17/22 23:43,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122032198,000 BLOCK S CHOATE ST,Newark Police,9/17/22 23:41,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122032200,000 BLOCK CHAPEL ST,Newark Police,9/17/22 23:23,,
,LIQUOR/UNDERAGE POSSESSION,3122032194,000 BLOCK N S. CHAPEL ST,Newark Police,9/17/22 23:17,,
,POSSESSION OF AN OPEN CONTAINER,3122032192,100 BLOCK KERSHAW ST,Newark Police,9/17/22 23:12,,
,THEFT OF SERVICES FROM BUILDING,3122032188,200 BLOCK W MAIN ST,Newark Police,9/17/22 22:30,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122032182,E. MAIN E ST & S. COLLEGE AVE,Newark Police,9/17/22 21:23,,
,LARCENY/FROM BUILDING,3122032179,100 BLOCK KING WILLIAM ST,Newark Police,9/17/22 20:05,,
,POSSESSION OF AN OPEN CONTAINER,3122032154,CHOATE N ST & E. MAIN ST,Newark Police,9/17/22 17:28,,
,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED,3122032161,700 BLOCK BENT LA,Newark Police,9/17/22 17:18,,
,LIQUOR/UNDERAGE POSSESSION,3122032151,CHAPEL ST & NEW ST,Newark Police,9/17/22 17:14,,
,POSSESSION OF AN OPEN CONTAINER,3122032148,000 BLOCK CHOATE ST,Newark Police,9/17/22 17:00,,
,POSSESSION OF AN OPEN CONTAINER,3122032146,NEW W ST & CHAPEL ST,Newark Police,9/17/22 16:58,,
,POSSESSION OF AN OPEN CONTAINER,3122032140,000 BLOCK CHOATE ST,Newark Police,9/17/22 16:42,,
,LIQUOR/UNDERAGE POSSESSION,3122032137,100 BLOCK W CLEVELAND AVE,Newark Police,9/17/22 16:35,,
,POSSESSION OF AN OPEN CONTAINER,3122032136,100 BLOCK CLEVELAND AVE,Newark Police,9/17/22 16:24,,
,POSSESSION OF AN OPEN CONTAINER,3122032130,000 BLOCK W E. CLEVELAND AVE,Newark Police,9/17/22 15:42,,
,POSSESSION OF AN OPEN CONTAINER,3122032126,CLEVELAND E & WILBUR ST,Newark Police,9/17/22 15:35,,
,POSSESSION OF AN OPEN CONTAINER,3122032121,WILBUR S ST & PROSPECT AVE,Newark Police,9/17/22 15:24,,
,LIQUOR/FREE TEXT,3122032119,CHOATE N ST & E. MAIN ST,Newark Police,9/17/22 14:49,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122032116,000 BLOCK CHAPEL ST,Newark Police,9/17/22 14:39,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122032115,400 BLOCK COLLEGE AVENUE EXT,Newark Police,9/17/22 14:34,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122032104,CLEVELAND AVE,Newark Police,9/17/22 13:43,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122032109,000 BLOCK CHOATE ST,Newark Police,9/17/22 13:36,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3922009427,700 BLOCK SCHOLAR DR,University of Delaware Police,9/17/22 10:21,,
,POSSESSION OF AN OPEN CONTAINER,3122032038,DELAWARE AVE & S. CHAPEL ST,Newark Police,9/17/22 1:42,,
,URINATE OR DEFECATE IN PUBLIC,3122032036,S. CHAPEL S ST & E. MAIN ST,Newark Police,9/17/22 1:25,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122032035,000 BLOCK SE NEW LONDON AVE,Newark Police,9/17/22 1:18,,
,POSSESSION OF AN OPEN CONTAINER,3122032034,ACADEMY S ST & KELLS AVE,Newark Police,9/17/22 1:17,,
,POSSESSION OF AN OPEN CONTAINER,3122032033,000 BLOCK S ACADEMY ST,Newark Police,9/17/22 1:00,,
,POSSESSION OF AN OPEN CONTAINER,3122032032,000 BLOCK PARKE AVE,Newark Police,9/17/22 0:56,,
,POSSESSION OF AN OPEN CONTAINER,3122032022,CHAPEL ST & LOVETT AVE,Newark Police,9/17/22 0:17,,
,POSSESSION OF AN OPEN CONTAINER,3122032016,S. CHAPEL ST & CHAMBERS ST,Newark Police,9/16/22 23:41,,
,POSSESSION OF AN OPEN CONTAINER,3122032008,COLLEGE N AVE & W. MAIN ST,Newark Police,9/16/22 23:04,,
,POSSESSION OF AN OPEN CONTAINER,3122031998,S. CHAPEL N ST & HOOTIECAT DR,Newark Police,9/16/22 22:22,,
,POSSESSION OF AN OPEN CONTAINER,3122031989,LOVETT E AVE & HAINES ST,Newark Police,9/16/22 21:06,,
,UNLAWFULLY ON PREMISES SELLING/SERVING LIQUOR,3122031984,200 BLOCK MAIN ST,Newark Police,9/16/22 20:14,,
,POSSESSION OF AN OPEN CONTAINER,3122031974,200 BLOCK MAIN ST,Newark Police,9/16/22 19:07,,
,LARCENY/BICYCLES,3122031963,200 BLOCK MAIN ST,Newark Police,9/16/22 17:32,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3922009375,800 BLOCK SCHOLAR DR,University of Delaware Police,9/16/22 11:57,,
,DAMAGE/PRIVATE PROPERTY,3122031855,100 BLOCK E MAIN ST,Newark Police,9/15/22 23:59,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122031776,200 BLOCK MAIN ST,Newark Police,9/15/22 13:51,,
,THEFT/FALSE PRETENSE OR PROMISE,3122031747,100 BLOCK MAIN ST,Newark Police,9/15/22 8:09,,
,LARCENY/FROM BUILDING,3122031746,200 BLOCK MAIN ST,Newark Police,9/15/22 7:25,,
,LARCENY/FROM BUILDING,3122031708,800 BLOCK CHRISTINA MILL DR,Newark Police,9/14/22 19:17,,
,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI,3122031417,700 BLOCK W DELAWARE AVE,Newark Police,9/14/22 9:00,,
,LARCENY/SHOPLIFTING,,200 BLOCK PENCADER PLZ,Delaware State Police,9/13/22 9:06,,
,LARCENY/CITY/STATE/TOWN/PROPERTY FROM BUILDING,3922009213,600 BLOCK COLLEGE AVE,University of Delaware Police,9/13/22 8:49,,
,LARCENY/FROM BUILDING,3922009185,400 BLOCK N ACADEMY ST,University of Delaware Police,9/12/22 17:22,,
,LARCENY/BICYCLES,3922009167,600 BLOCK COLLEGE AVE,University of Delaware Police,9/12/22 13:00,,
,LARCENY/SHOPLIFTING,3122031423,100 BLOCK W MAIN ST,Newark Police,9/12/22 10:40,,
,FRAUD/ILLEGAL USE OF CREDIT CARDS,3122031425,100 BLOCK VETERANS DR,Newark Police,9/12/22 9:42,,
,THEFT/FALSE PRETENSE OR PROMISE,3122031412,100 BLOCK E MAIN ST,Newark Police,9/12/22 9:28,,
,BURGLARY/FORCED ENTRY/NONRESIDENCE,3122031399,000 BLOCK MAIN ST,Newark Police,9/12/22 7:06,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031371,000 BLOCK S CENTER ST,Newark Police,9/11/22 22:50,,
,VEHICLE THEFT,,600 BLOCK NW MARROWS RD,Delaware State Police,9/11/22 15:10,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,,200 BLOCK S PENCADER PLZ,Delaware State Police,9/11/22 13:41,,
,DAMAGE/PRIVATE PROPERTY,3122031339,200 BLOCK SE BEVERLY RD,Newark Police,9/11/22 13:20,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031291,300 BLOCK DELAWARE CIR,Newark Police,9/11/22 1:55,,
,POSSESSION OF AN OPEN CONTAINER,3122031285,000 BLOCK CHAPEL DR,Newark Police,9/11/22 1:24,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031282,200 BLOCK E E. MAIN ST,Newark Police,9/11/22 0:55,,
,LIQUOR/UNDERAGE POSSESSION,3122031274,000 BLOCK S CHAPEL ST,Newark Police,9/11/22 0:34,,
,POSSESSION OF AN OPEN CONTAINER,3122031265,NEW E ST & CHOATE ST,Newark Police,9/10/22 23:41,,
,LARCENY/SHOPLIFTING,,200 BLOCK CHESTNUT HILL RD,Delaware State Police,9/10/22 23:34,,
,POSSESSION OF AN OPEN CONTAINER,3122031254,CHAPEL N DR & COCHRAN WAY,Newark Police,9/10/22 23:12,,
,LARCENY/FROM BUILDING,3122031249,600 BLOCK COLLEGE AVE,Newark Police,9/10/22 22:02,,
,LARCENY/FROM ALL OTHER YARDS,3122031237,000 BLOCK W PROSPECT AVE,Newark Police,9/10/22 21:35,,
,POSSESSION OF AN OPEN CONTAINER,3122031200,000 BLOCK S CHOATE ST,Newark Police,9/10/22 18:37,,
,POSSESSION OF AN OPEN CONTAINER,3122031197,000 BLOCK CHOATE ST,Newark Police,9/10/22 18:30,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031196,000 BLOCK PROSPECT AVE,Newark Police,9/10/22 17:58,,
,POSSESSION OF AN OPEN CONTAINER,3122031190,000 BLOCK S CHOATE ST,Newark Police,9/10/22 17:47,,
,POSSESSION OF AN OPEN CONTAINER,3122031189,NEW E ST & CENTER ST,Newark Police,9/10/22 17:42,,
,POSSESSION OF AN OPEN CONTAINER,3122031181,100 BLOCK CLEVELAND AVE,Newark Police,9/10/22 16:52,,
,LARCENY/FROM ALL OTHER YARDS,3122031161,200 BLOCK S ORCHARD RD,Newark Police,9/10/22 12:47,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031092,200 BLOCK MAIN ST,Newark Police,9/10/22 0:56,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031096,000 BLOCK PARK PL,Newark Police,9/10/22 0:46,,
,LIQUOR/UNDERAGE POSSESSION,3122031091,100 BLOCK E E. PARK PL,Newark Police,9/10/22 0:30,,
,POSSESSION OF AN OPEN CONTAINER,3122031089,100 BLOCK PARK PL,Newark Police,9/10/22 0:18,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031090,300 BLOCK MANUEL ST,Newark Police,9/10/22 0:14,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031087,CONTINENTAL ST,Newark Police,9/10/22 0:06,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031085,000 BLOCK E CONTINENTAL ST,Newark Police,9/9/22 23:56,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031083,200 BLOCK E E. PARK PL,Newark Police,9/9/22 23:45,,
,LIQUOR/UNDERAGE POSSESSION,3122031078,000 BLOCK E MAIN STA,Newark Police,9/9/22 23:17,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031036,700 BLOCK WOLLASTON AVE,Newark Police,9/9/22 18:23,,
,LIQUOR/FREE TEXT,3122031031,200 BLOCK MAIN ST,Newark Police,9/9/22 18:21,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122031033,000 BLOCK CLEVELAND AVE,Newark Police,9/9/22 18:07,,
,UNLAWFULLY ON PREMISES SELLING/SERVING LIQUOR,3122031027,200 BLOCK MAIN ST,Newark Police,9/9/22 18:01,,
,LARCENY/FROM BUILDING,3122031028,200 BLOCK E. MAIN ST,Newark Police,9/9/22 15:35,,
,LARCENY/FROM ALL OTHER YARDS,3122031012,200 BLOCK E. MAIN ST,Newark Police,9/9/22 15:04,,
,LARCENY/SHOPLIFTING,3122030990,200 BLOCK MAIN ST,Newark Police,9/9/22 9:04,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3122030946,200 BLOCK E E. PARK PL,Newark Police,9/9/22 1:20,,
,POSSESSION OF AN OPEN CONTAINER,3122030943,HAINES ST & CONTINENTAL AVE,Newark Police,9/9/22 1:04,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030928,100 BLOCK SE W. MAIN ST,Newark Police,9/8/22 23:45,,
,POSSESSION OF AN OPEN CONTAINER,3122030920,HILLSIDE W RD & NEW LONDON RD,Newark Police,9/8/22 23:14,,
,LARCENY/SHOPLIFTING,,200 BLOCK E CHESTNUT HILL RD,Delaware State Police,9/8/22 22:46,,
,UNLAWFULLY ON PREMISES SELLING/SERVING LIQUOR,3122030900,200 BLOCK DELAWARE AVE,Newark Police,9/8/22 20:16,,
,UNLAWFULLY ON PREMISES SELLING/SERVING LIQUOR,3122030893,200 BLOCK DELAWARE AVE,Newark Police,9/8/22 19:09,,
,LARCENY/FROM MAIL FROM ALL OTHER YARDS,3122030875,200 BLOCK MAIN ST,Newark Police,9/8/22 15:59,,
,ROBBERY/CARJACKING/GUN RESIDENCE,3122030807,400 BLOCK STAMFORD DR,Newark Police,9/8/22 1:07,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122030788,000 BLOCK SE NEW LONDON RD,Newark Police,9/7/22 21:06,,
,LARCENY/FROM MAIL FROM ALL OTHER YARDS,3122030780,100 BLOCK N HAINES ST,Newark Police,9/7/22 19:10,,
,LARCENY/BICYCLES,3922008907,000 BLOCK DELAWARE AVE,University of Delaware Police,9/7/22 19:09,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,,100 BLOCK CHESTNUT HILL RD,Delaware State Police,9/7/22 15:00,,
,DAMAGE/PUBLIC PROPERTY,3922008897,100 BLOCK DAVID HOLLOWELL DR,University of Delaware Police,9/7/22 13:10,,
,DAMAGE/PUBLIC PROPERTY,3922008894,100 BLOCK CHRISTIANA DR,University of Delaware Police,9/7/22 13:10,,
,LARCENY/SHOPLIFTING,,2000 BLOCK E OGLETOWN RD,Delaware State Police,9/7/22 13:03,,
,DAMAGE/PRIVATE PROPERTY,3122030727,AMSTEL AVE,Newark Police,9/7/22 12:25,,
,LARCENY/FROM BUILDING,3122030734,300 BLOCK MAIN ST,Newark Police,9/7/22 12:10,,
,LARCENY/SHOPLIFTING,3122030722,000 BLOCK E. MAIN ST,Newark Police,9/7/22 11:17,,
,FRAUD BY WIRE,3122030648,000 BLOCK EASTON PL,Newark Police,9/6/22 18:22,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122030622,600 BLOCK COLLEGE AVE,Newark Police,9/6/22 15:47,,
,DAMAGE/BUSINESS PROPERTY,3122030578,400 BLOCK CLEVELAND AVE,Newark Police,9/6/22 10:03,,
,THEFT/FALSE PRETENSE OR PROMISE,,2000 BLOCK W OGLETOWN RD,Delaware State Police,9/6/22 9:41,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122030582,900 BLOCK W BARKSDALE RD,Newark Police,9/6/22 9:40,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030532,000 BLOCK EASTON CT,Newark Police,9/5/22 21:11,,
,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED,3122030524,000 BLOCK NE INDEPENDENCE CIR,Newark Police,9/5/22 18:18,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030512,000 BLOCK KELLS AVE,Newark Police,9/5/22 17:15,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030508,000 BLOCK E PARK AVE,Newark Police,9/5/22 16:21,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030456,000 BLOCK S WILBUR ST,Newark Police,9/5/22 3:15,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030403,000 BLOCK FREMONT RD,Newark Police,9/4/22 19:28,,
,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON,3122030399,1000 BLOCK COLLEGE AVE,Newark Police,9/4/22 18:05,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030388,000 BLOCK KELLS AVE,Newark Police,9/4/22 15:24,,
,LARCENY/FROM BUILDING,3922008727,000 BLOCK MAIN ST,University of Delaware Police,9/4/22 2:55,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030331,100 BLOCK DELAWARE AVE,Newark Police,9/4/22 2:04,,
,BURGLARY/FORCED ENTRY/RESIDENCE,3122030318,400 BLOCK TERRACE DR,Newark Police,9/3/22 23:11,,
,POSSESSION OF AN OPEN CONTAINER,3122030289,LOVETT AVE & BENNY ST,Newark Police,9/3/22 17:54,,
,POSSESSION OF AN OPEN CONTAINER,3122030287,100 BLOCK CLEVELAND AVE,Newark Police,9/3/22 17:22,,
,POSSESSION OF AN OPEN CONTAINER,3122030286,100 BLOCK W E. CLEVELAND,Newark Police,9/3/22 17:18,,
,LIQUOR/UNDERAGE POSSESSION,3122030284,000 BLOCK W CLEVELAND AVE,Newark Police,9/3/22 17:08,,
,POSSESSION OF AN OPEN CONTAINER,3122030275,100 BLOCK CLEVELAND AVE,Newark Police,9/3/22 16:51,,
,LIQUOR/UNDERAGE POSSESSION,3122030279,BENNY S ST & LOVETT AVE,Newark Police,9/3/22 16:38,,
,POSSESSION OF AN OPEN CONTAINER,3122030273,400 BLOCK W E. CLEVELAND AVE,Newark Police,9/3/22 16:01,,
,POSSESSION OF AN OPEN CONTAINER,3122030264,000 BLOCK BENNY ST,Newark Police,9/3/22 14:54,,
,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED,3122030257,400 BLOCK COLLEGE AVE,Newark Police,9/3/22 13:25,,
,URINATE OR DEFECATE IN PUBLIC,3122030213,200 BLOCK SW MAIN ST,Newark Police,9/3/22 1:56,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3922008663,200 BLOCK THE GREEN,University of Delaware Police,9/3/22 1:44,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030211,000 BLOCK CENTER ST,Newark Police,9/3/22 1:11,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030205,700 BLOCK S WOLLASTON AVE,Newark Police,9/3/22 0:47,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030199,300 BLOCK S MANUEL ST,Newark Police,9/2/22 23:57,,
,POSSESSION OF AN OPEN CONTAINER,3122030194,HAINES S ST & DELAWARE AVE,Newark Police,9/2/22 22:52,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030190,200 BLOCK VETERANS DR,Newark Police,9/2/22 22:17,,
,POSSESSION OF AN OPEN CONTAINER,3122030092,100 BLOCK S S. CHAPEL ST,Newark Police,9/2/22 0:30,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030090,000 BLOCK BENNY ST,Newark Police,9/2/22 0:03,,
,POSSESSION OF AN OPEN CONTAINER,3122030088,CHAPEL S DR & LOVETT AVE,Newark Police,9/2/22 0:01,,
,POSSESSION OF WEAPON,3122030087,E. CLEVELAND W AVE & WILBUR ST,Newark Police,9/1/22 23:44,,
,POSSESSION OF AN OPEN CONTAINER,3122030077,BENNY N ST & CHAMBERS ST,Newark Police,9/1/22 22:56,,
,LIQUOR/FREE TEXT,3122030057,200 BLOCK MAIN ST,Newark Police,9/1/22 19:54,,
,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI,3122030003,COLLEGE AVE,Newark Police,9/1/22 10:05,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122029945,100 BLOCK W E. PARK PL,Newark Police,8/31/22 23:24,,
,LARCENY/BICYCLES,3122029836,300 BLOCK COLLEGE AVE,Newark Police,8/31/22 0:15,,